slug,csv_slug,name,title_suffix
all,all,Total,
none,none,None
0,0,Under 1 year,of children under the age of 1
0_4,0_4,Under 5 years,of children under the age of 5
0_14,0_14,Under 15 years,of children under the age of 15
0_24,0_24,Under 25 years,under the age of 25
15_64,15_64,15-64 years,aged 15 to 64 years
1_4,1_4,1–4 years,aged 1 to 4 years
5_9,5_9,5–9 years,aged 5 to 9 years
10_14,10_14,10–14 years,aged 10 to 14 years
15_19,15_19,15–19 years,aged 15 to 19 years
20_29,20_29,20–29 years,aged 20 to 29 years
30_39,30_39,30–39 years,aged 30 to 39 years
40_49,40_49,40–49 years,aged 40 to 49 years
50_59,50_59,50–59 years,aged 50 to 59 years
60_69,60_69,60–69 years,aged 60 to 69 years
70_79,70_79,70–79 years,aged 70 to 79 years
80_89,80_89,80–89 years,aged 80 to 89 years
90_99,90_99,90–99 years,aged 90 to 99 years
100plus,100plus,100+ years,older than 100 years
mothers_15_19,15_19,Mothers aged 15–19 years,from mothers aged 15 to 19 years
mothers_20_24,20_24,Mothers aged 20–24 years,from mothers aged 20 to 24 years
mothers_25_29,25_29,Mothers aged 25–29 years,from mothers aged 25 to 29 years
mothers_30_34,30_34,Mothers aged 30–34 years,from mothers aged 30 to 34 years
mothers_35_39,35_39,Mothers aged 35–39 years,from mothers aged 35 to 39 years
mothers_40_44,40_44,Mothers aged 40–44 years,from mothers aged 40 to 44 years
mothers_45_49,45_49,Mothers aged 45–49 years,from mothers aged 45 to 49 years
aged_15,15,Aged 15,at age 15
aged_65,65,Aged 65,at age 65
aged_80,80,Aged 80,at age 80
at_birth,at_birth,At birth,at birth
1,1,At age 1,at age 1
5,5,At age 5,at age 5
10,10,At age 10,at age 10
15,15,At age 15,at age 15
20,20,At age 20,at age 20
30,30,At age 30,at age 30
40,40,At age 40,at age 40
50,50,At age 50,at age 50
60,60,At age 60,at age 60
65,65,At age 65,at age 65
70,70,At age 70,at age 70
80,80,At age 80,at age 80
90,90,At age 90,at age 90
100_and_over,100plus,At age 100 and over,at age 100 and over
dependency_total,dependency_total,Total dependency ratio,
dependency_child,dependency_child,Youth dependency ratio,
dependency_old,dependency_old,Old-age dependency ratio,
