selection	Canada~India
title	Coronavirus related page views
subtitle
type	LineChart
hasMapTab	false
hideControls	true
ySlugs	PageViews




columns
	slug	type	name	notes
	Country	EntityName	Country	Unreviewed
	PageViews	Numeric	Page views	Unreviewed
	Date	Day	Date	Unreviewed


table
	Date	PageViews	Country
	12 Feb 2020	1	OWID
	14 Feb 2020	1	OWID
	19 Feb 2020	1	OWID
	20 Feb 2020	3	OWID
	21 Feb 2020	4	OWID
	23 Feb 2020	4	OWID
	24 Feb 2020	3	OWID
	25 Feb 2020	4	OWID
	26 Feb 2020	5	OWID
	27 Feb 2020	7	OWID
	28 Feb 2020	13	OWID
	29 Feb 2020	7	OWID
	1 Mar 2020	4	OWID
	2 Mar 2020	9	OWID
	3 Mar 2020	7	OWID
	4 Mar 2020	20	OWID
	5 Mar 2020	7561	OWID
	6 Mar 2020	52424	OWID
	7 Mar 2020	78672	OWID
	8 Mar 2020	87344	OWID
	9 Mar 2020	158161	OWID
	10 Mar 2020	201235	OWID
	11 Mar 2020	301034	OWID
	12 Mar 2020	527369	OWID
	13 Mar 2020	668521	OWID
	14 Mar 2020	788773	OWID
	15 Mar 2020	1232619	OWID
	16 Mar 2020	1769443	OWID
	17 Mar 2020	1799421	OWID
	18 Mar 2020	1357533	OWID
	19 Mar 2020	1376869	OWID
	20 Mar 2020	1316589	OWID
	21 Mar 2020	1398705	OWID
	22 Mar 2020	1372459	OWID
	23 Mar 2020	1182964	OWID
	24 Mar 2020	1195837	OWID
	25 Mar 2020	1556168	OWID
	26 Mar 2020	1620078	OWID
	27 Mar 2020	1555214	OWID
	28 Mar 2020	1364911	OWID
	29 Mar 2020	1409658	OWID
	30 Mar 2020	1449126	OWID
	31 Mar 2020	1534153	OWID
	1 Apr 2020	1657505	OWID
	2 Apr 2020	1740913	OWID
	3 Apr 2020	1685014	OWID
	4 Apr 2020	1438323	OWID
	5 Apr 2020	1350002	OWID
	6 Apr 2020	1451835	OWID
	7 Apr 2020	1242529	OWID
	8 Apr 2020	1153845	OWID
	9 Apr 2020	1104518	OWID
	10 Apr 2020	1073695	OWID
	11 Apr 2020	1132995	OWID
	12 Apr 2020	1276110	OWID
	13 Apr 2020	1291632	OWID
	14 Apr 2020	1491389	OWID
	15 Apr 2020	1265959	OWID
	16 Apr 2020	1594220	OWID
	17 Apr 2020	1696858	OWID
	18 Apr 2020	1483530	OWID
	19 Apr 2020	1699069	OWID
	20 Apr 2020	1900625	OWID
	21 Apr 2020	1548507	OWID
	22 Apr 2020	1699560	OWID
	23 Apr 2020	1617322	OWID
	24 Apr 2020	1357039	OWID
	25 Apr 2020	1170372	OWID
	26 Apr 2020	1835282	OWID
	27 Apr 2020	1444881	OWID
	28 Apr 2020	1429326	OWID
	29 Apr 2020	1557053	OWID
	30 Apr 2020	1395637	OWID
	1 May 2020	1168120	OWID
	2 May 2020	1272453	OWID
	3 May 2020	1568869	OWID
	4 May 2020	1419637	OWID
	5 May 2020	1545968	OWID
	6 May 2020	1579454	OWID
	7 May 2020	1259206	OWID
	8 May 2020	1349622	OWID
	9 May 2020	1217008	OWID
	10 May 2020	1154097	OWID
	11 May 2020	1334258	OWID
	12 May 2020	1543792	OWID
	13 May 2020	1455221	OWID
	14 May 2020	1645645	OWID
	15 May 2020	1511163	OWID
	16 May 2020	1550051	OWID
	17 May 2020	1769482	OWID
	18 May 2020	1456453	OWID
	19 May 2020	1613486	OWID
	20 May 2020	1372015	OWID
	21 May 2020	1346734	OWID
	22 May 2020	1323444	OWID
	23 May 2020	981979	OWID
	24 May 2020	959867	OWID
	25 May 2020	1419175	OWID
	26 May 2020	1471792	OWID
	27 May 2020	1259748	OWID
	28 May 2020	1296801	OWID
	29 May 2020	1160820	OWID
	30 May 2020	762596	OWID
	31 May 2020	773686	OWID
	1 Jun 2020	1428814	OWID
	2 Jun 2020	1280468	OWID
	3 Jun 2020	1665145	OWID
	4 Jun 2020	1161926	OWID
	5 Jun 2020	1173541	OWID
	6 Jun 2020	1058498	OWID
	7 Jun 2020	1741609	OWID
	8 Jun 2020	1119585	OWID
	9 Jun 2020	917511	OWID
	10 Jun 2020	975485	OWID
	11 Jun 2020	877757	OWID
	12 Jun 2020	763930	OWID
	13 Jun 2020	633980	OWID
	14 Jun 2020	686266	OWID
	15 Jun 2020	807901	OWID
	16 Jun 2020	794859	OWID
	17 Jun 2020	684470	OWID
	18 Jun 2020	722582	OWID
	19 Jun 2020	645757	OWID
	20 Jun 2020	468423	OWID
	21 Jun 2020	545301	OWID
	22 Jun 2020	699081	OWID
	23 Jun 2020	813430	OWID
	24 Jun 2020	768091	OWID
	25 Jun 2020	816196	OWID
	26 Jun 2020	786010	OWID
	27 Jun 2020	587326	OWID
	28 Jun 2020	621503	OWID
	29 Jun 2020	729070	OWID
	30 Jun 2020	858977	OWID
	1 Jul 2020	988796	OWID
	2 Jul 2020	647770	OWID
	3 Jul 2020	526019	OWID
	4 Jul 2020	455681	OWID
	5 Jul 2020	445503	OWID
	6 Jul 2020	738960	OWID
	7 Jul 2020	698092	OWID
	8 Jul 2020	695581	OWID
	9 Jul 2020	717793	OWID
	10 Jul 2020	587954	OWID
	11 Jul 2020	575543	OWID
	12 Jul 2020	616339	OWID
	13 Jul 2020	655799	OWID
	14 Jul 2020	621978	OWID
	15 Jul 2020	513642	OWID
	16 Jul 2020	571544	OWID
	17 Jul 2020	530820	OWID
	18 Jul 2020	410392	OWID
	19 Jul 2020	451846	OWID
	20 Jul 2020	512075	OWID
	21 Jul 2020	583498	OWID
	22 Jul 2020	506883	OWID
	23 Jul 2020	419471	OWID
	24 Jul 2020	397725	OWID
	25 Jul 2020	355514	OWID
	26 Jul 2020	357436	OWID
	27 Jul 2020	505180	OWID
	28 Jul 2020	606461	OWID
	29 Jul 2020	400907	OWID
	30 Jul 2020	356887	OWID
	31 Jul 2020	333359	OWID
	1 Aug 2020	267050	OWID
	2 Aug 2020	319331	OWID
	3 Aug 2020	403846	OWID
	4 Aug 2020	543742	OWID
	5 Aug 2020	424714	OWID
	6 Aug 2020	333213	OWID
	7 Aug 2020	299287	OWID
	8 Aug 2020	229083	OWID
	9 Aug 2020	272365	OWID
	10 Aug 2020	363822	OWID
	11 Aug 2020	340638	OWID
	12 Aug 2020	287041	OWID
	13 Aug 2020	304404	OWID
	14 Aug 2020	308704	OWID
	15 Aug 2020	223227	OWID
	16 Aug 2020	267693	OWID
	17 Aug 2020	302391	OWID
	18 Aug 2020	277618	OWID
	19 Aug 2020	264930	OWID
	20 Aug 2020	255213	OWID
	21 Aug 2020	267264	OWID
	22 Aug 2020	225185	OWID
	23 Aug 2020	206348	OWID
	24 Aug 2020	260815	OWID
	25 Aug 2020	318169	OWID
	26 Aug 2020	342782	OWID
	27 Aug 2020	264548	OWID
	28 Aug 2020	243701	OWID
	29 Aug 2020	221034	OWID
	30 Aug 2020	202579	OWID
	31 Aug 2020	267665	OWID
	1 Sept 2020	320210	OWID
	2 Sept 2020	334837	OWID
	3 Sept 2020	309446	OWID
	4 Sept 2020	252921	OWID
	5 Sept 2020	217296	OWID
	6 Sept 2020	265478	OWID
	7 Sept 2020	294586	OWID
	8 Sept 2020	350352	OWID
	9 Sept 2020	296003	OWID
	10 Sept 2020	283063	OWID
	11 Sept 2020	319740	OWID
	12 Sept 2020	262102	OWID
	13 Sept 2020	255438	OWID
	14 Sept 2020	353605	OWID
	15 Sept 2020	621388	OWID
	16 Sept 2020	437354	OWID
	17 Sept 2020	343322	OWID
	18 Sept 2020	305487	OWID
	19 Sept 2020	252307	OWID
	20 Sept 2020	207021	OWID
	21 Sept 2020	307050	OWID
	22 Sept 2020	297442	OWID
	23 Sept 2020	265024	OWID
	24 Sept 2020	271377	OWID
	25 Sept 2020	244121	OWID
	26 Sept 2020	195133	OWID
	27 Sept 2020	193781	OWID
	28 Sept 2020	238413	OWID
	29 Sept 2020	238719	OWID
	30 Sept 2020	208711	OWID
	1 Oct 2020	253050	OWID
	2 Oct 2020	355685	OWID
	3 Oct 2020	188061	OWID
	4 Oct 2020	191726	OWID
	5 Oct 2020	243204	OWID
	6 Oct 2020	283907	OWID
	7 Oct 2020	227782	OWID
	8 Oct 2020	264792	OWID
	9 Oct 2020	221450	OWID
	10 Oct 2020	207209	OWID
	11 Oct 2020	215754	OWID
	12 Oct 2020	234550	OWID
	13 Oct 2020	242943	OWID
	14 Oct 2020	262623	OWID
	15 Oct 2020	278607	OWID
	16 Oct 2020	278907	OWID
	17 Oct 2020	231477	OWID
	18 Oct 2020	220892	OWID
	19 Oct 2020	289490	OWID
	20 Oct 2020	269781	OWID
	21 Oct 2020	322259	OWID
	22 Oct 2020	260946	OWID
	23 Oct 2020	249487	OWID
	24 Oct 2020	224693	OWID
	25 Oct 2020	262511	OWID
	26 Oct 2020	279896	OWID
	27 Oct 2020	291715	OWID
	28 Oct 2020	345895	OWID
	29 Oct 2020	310286	OWID
	30 Oct 2020	349647	OWID
	31 Oct 2020	290879	OWID
	1 Nov 2020	303133	OWID
	2 Nov 2020	319786	OWID
	3 Nov 2020	335326	OWID
	4 Nov 2020	211900	OWID
	5 Nov 2020	222795	OWID
	6 Nov 2020	214315	OWID
	7 Nov 2020	176416	OWID
	8 Nov 2020	175593	OWID
	9 Nov 2020	262166	OWID
	10 Nov 2020	209332	OWID
	11 Nov 2020	227841	OWID
	12 Nov 2020	278036	OWID
	13 Nov 2020	355510	OWID
	14 Nov 2020	313720	OWID
	15 Nov 2020	266250	OWID
	16 Nov 2020	351057	OWID
	17 Nov 2020	303283	OWID
	18 Nov 2020	302849	OWID
	19 Nov 2020	321767	OWID
	20 Nov 2020	253225	OWID
	21 Nov 2020	261973	OWID
	22 Nov 2020	218499	OWID
	23 Nov 2020	261935	OWID
	24 Nov 2020	242654	OWID
	25 Nov 2020	324997	OWID
	26 Nov 2020	274586	OWID
	27 Nov 2020	272259	OWID
	28 Nov 2020	211716	OWID
	29 Nov 2020	194997	OWID
	30 Nov 2020	230951	OWID
