explorerTitle	My New Explorer
explorerSubtitle	This is the subtitle
selection	Canada~India
graphers
	title	ySlugs	subtitle	Statistic Radio	type	hasMapTab
	Population of different countries	Population	How many people live in each country?	Population	DiscreteBar	true
	Flag Properties	MapleleafsInFlag	How many leaves are on their flag?	Flag	WorldMap	true
table
	Country	Population	Year	MapleleafsInFlag
	Canada	32000000	2020	1
	India	1000000000	2020	0
	France	50000000	2020	0
columns
	slug	type	name	notes
	Country	EntityName	Country	Unreviewed
	Population	Numeric	Population	Unreviewed
	Year	Year	Year	Unreviewed
	MapleleafsInFlag	Numeric	MapleleafsInFlag	Unreviewed
