table
	Entity	Year	Child-Labor-UK-boys-historic-Cunningham-H-and-Viazzo-PP-1996	Child-Labor-UK-girls-historic-Cunningham-H-and-Viazzo-PP-1996
	United Kingdom	1851	36.6	19.9
	United Kingdom	1861	36.9	20.2
	United Kingdom	1871	32.1	20.5
	United Kingdom	1881	22.9	15.1
	United Kingdom	1891	26	16.3
	United Kingdom	1901	21.9	12
	United Kingdom	1911	18.3	10.4
columns
	slug	type	name	notes
	Entity	EntityName	Entity	Unreviewed
	Year	Year	Year	Unreviewed
	Child-Labor-UK-boys-historic-Cunningham-H-and-Viazzo-PP-1996	Numeric		Unreviewed
	Child-Labor-UK-girls-historic-Cunningham-H-and-Viazzo-PP-1996	Numeric		Unreviewed
