explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	mh1 - Importance of mental health for well-being	As important	all	15-29	676697	true
	mh1 - Importance of mental health for well-being	As important	all	65+	676699	true
	mh1 - Importance of mental health for well-being	As important	all	50-64	676700	true
	mh1 - Importance of mental health for well-being	As important	all	Don't know/Refused	676702	true
	mh1 - Importance of mental health for well-being	As important	all	30-49	676708	true
	mh1 - Importance of mental health for well-being	As important	female	15-29	676709	true
	mh1 - Importance of mental health for well-being	As important	all	all	676710	true
	mh1 - Importance of mental health for well-being	As important	male	15-29	676715	true
	mh1 - Importance of mental health for well-being	As important	female	65+	676716	true
	mh1 - Importance of mental health for well-being	As important	female	50-64	676717	true
	mh1 - Importance of mental health for well-being	As important	female	30-49	676718	true
	mh1 - Importance of mental health for well-being	As important	female	all	676721	true
	mh1 - Importance of mental health for well-being	As important	female	Don't know/Refused	676723	true
	mh1 - Importance of mental health for well-being	As important	male	Don't know/Refused	676724	true
	mh1 - Importance of mental health for well-being	As important	male	65+	676725	true
	mh1 - Importance of mental health for well-being	As important	male	30-49	676727	true
	mh1 - Importance of mental health for well-being	As important	male	50-64	676730	true
	mh1 - Importance of mental health for well-being	As important	male	all	676731	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	all	30-49	676732	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	all	15-29	676735	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	all	50-64	676737	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	all	65+	676739	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	all	Don't know/Refused	676741	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	female	15-29	676742	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	all	all	676745	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	female	30-49	676747	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	female	50-64	676749	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	female	65+	676751	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	female	Don't know/Refused	676753	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	female	all	676754	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	male	15-29	676757	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	male	30-49	676759	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	male	50-64	676762	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	male	65+	676763	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	male	Don't know/Refused	676765	true
	mh1 - Importance of mental health for well-being	Don't know/Refused	male	all	676767	true
	mh1 - Importance of mental health for well-being	Less important	all	15-29	676768	true
	mh1 - Importance of mental health for well-being	Less important	all	30-49	676771	true
