selection	Canada~India
title	GDP by quarter
subtitle
type	LineChart
hasMapTab	false
hideControls	true
ySlugs	GDP




columns
	slug	type	name
	Country	EntityName	Country
	GDP	Numeric	GDP
	Quarter	Quarter	Quarter
table
	Country	GDP	Quarter
	AUT	-13.3	2020-Q2
	BEL	-14.5	2020-Q2
	BGR	-8.2	2020-Q2
	CAN	-13.494697	2020-Q2
	CHL	-13.682773	2020-Q2
	CHN	3.2	2020-Q2
	COL	-15.7	2020-Q2
	CYP	-11.9	2020-Q2
	CZE	-10.7	2020-Q2
	DNK	-8.5	2020-Q2
			2020-Q2
	-14.1		2020-Q2
			2020-Q2
	-15		2020-Q2
	FIN	-5.2	2020-Q2
	FRA	-19	2020-Q2
			2020-Q2
	-12.106082		2020-Q2
	DEU	-11.7	2020-Q2
	HUN	-13.5	2020-Q2
	IDN	-5.36783	2020-Q2
	ISR	-7.766077	2020-Q2
	ITA	-17.3	2020-Q2
	JPN	-10.00138	2020-Q2
	LVA	-9.6	2020-Q2
	LTU	-3.7	2020-Q2
	MYS	-17.1	2020-Q2
	MEX	-18.967486	2020-Q2
			2020-Q2
	-10.786266		2020-Q2
	NLD	-9	2020-Q2
	NGA	-6.1	2020-Q2
	NOR	-5.331291	2020-Q2
			2020-Q2
	-10.9		2020-Q2
	PER	-30.2358063	2020-Q2
	PHL	-16.5	2020-Q2
	POL	-7.9	2020-Q2
	PRT	-16.3	2020-Q2
	ROU	-10.5	2020-Q2
	SGP	-13.2	2020-Q2
	SVK	-12.1	2020-Q2
	KOR	-2.957828	2020-Q2
	ESP	-22.1	2020-Q2
	SWE	-8.3	2020-Q2
	TWN	-0.58	2020-Q2
	TUN	-21.6	2020-Q2
	GBR	-21.7	2020-Q2
	USA	-9.5	2020-Q2
