explorerTitle	Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized) - Sex: 
selection	World

graphers
	sex Dropdown	age_group Dropdown	cause Dropdown	yVariableIds	hasMapTab
	both sexes	0-4 years	Lower respiratory infections	823896	true
	both sexes	10-14 years	Lower respiratory infections	823897	true
	both sexes	20-24 years	Lower respiratory infections	823898	true
	both sexes	25-29 years	Chronic obstructive pulmonary disease	823899	true
	both sexes	25-29 years	Ischaemic heart disease	823900	true
	both sexes	15-19  years	Lower respiratory infections	823901	true
	both sexes	25-29 years	Lower respiratory infections	823902	true
	both sexes	25-29 years	Stroke	823903	true
	both sexes	25-29 years	Trachea, bronchus, lung cancers	823904	true
	both sexes	30-34 years	Chronic obstructive pulmonary disease	823905	true
	both sexes	30-34 years	Ischaemic heart disease	823906	true
	both sexes	30-34 years	Lower respiratory infections	823907	true
	both sexes	30-34 years	Stroke	823908	true
	both sexes	30-34 years	Trachea, bronchus, lung cancers	823909	true
	both sexes	35-39 years	Chronic obstructive pulmonary disease	823910	true
	both sexes	35-39 years	Lower respiratory infections	823911	true
	both sexes	35-39 years	Stroke	823912	true
	both sexes	35-39 years	Ischaemic heart disease	823913	true
	both sexes	35-39 years	Trachea, bronchus, lung cancers	823914	true
	both sexes	40-44 years	Chronic obstructive pulmonary disease	823915	true
	both sexes	40-44 years	Ischaemic heart disease	823916	true
	both sexes	40-44 years	Lower respiratory infections	823917	true
	both sexes	40-44 years	Stroke	823918	true
	both sexes	40-44 years	Trachea, bronchus, lung cancers	823919	true
	both sexes	45-49 years	Chronic obstructive pulmonary disease	823920	true
	both sexes	45-49 years	Lower respiratory infections	823921	true
	both sexes	45-49 years	Ischaemic heart disease	823922	true
	both sexes	45-49 years	Stroke	823923	true
	both sexes	45-49 years	Trachea, bronchus, lung cancers	823924	true
	both sexes	5-9 years	Lower respiratory infections	823925	true
	both sexes	50-54 years	Ischaemic heart disease	823926	true
	both sexes	50-54 years	Chronic obstructive pulmonary disease	823927	true
	both sexes	50-54 years	Lower respiratory infections	823928	true
	both sexes	50-54 years	Stroke	823929	true
